faker_type,nl,fr,en,de,da
average,-3.4190763045824797,-3.3903088843495883,-3.4302689251149183,-3.336892207433677,-3.203231795656498
address,-4.029850723922055,-5.744895819454861,-5.146670285738436,-5.993156285169693,-5.649524201605798
phone_number,-2.144992266549794,-1.7589295060242551,-2.6712463949335956,-2.40787295429066,-2.2393144360180335
pricetag,-2.0041548679365837,-1.679553613730458,-2.0041548679365837,-1.679553613730458,-1.3663147365117816
timezone,-3.0721035149806015,-3.0721035149806015,-3.0721035149806015,-3.0721035149806015,-3.0721035149806015
mime_type,-4.329186866892487,-4.329186866892487,-4.329186866892487,-4.329186866892487,-4.329186866892487
unix_partition,-0.8297125560214633,-0.8297125560214633,-0.8297125560214633,-0.8297125560214633,-0.8297125560214633
ascii_email,-4.707336553631686,-3.9023386384369787,-4.0675585437571,-3.9079874144408295,-3.7673640904104126
isbn10,-2.1910287673270146,-2.1910287673270146,-2.1910287673270146,-2.1910287673270146,-2.1910287673270146
job,-5.119273211591436,-5.621923473887517,-5.119273211591436,-3.6611726935993056,-4.708215549021884
ssn,-2.302585092994053,-2.195289232165109,-1.883933257904226,-1.883933257904226,-1.883933257904226
user_agent,-6.131981637384906,-6.131981637384906,-6.131981637384906,-6.131981637384906,-6.131981637384906
color,-4.151904884202644,-4.151904884202644,-4.151904884202644,-4.151904884202644,-4.151904884202644
license_plate,-2.9072890898406745,-2.3153417602232724,-4.340392123385563,-2.8490481163925443,-2.0032353934459195
iban,-2.2590781815563674,-2.1320232342537286,-2.266988529090495,-2.0932591754491296,-2.072326583694648
company,-5.15160734448002,-4.517218093771943,-4.5333614759046235,-4.667653896367062,-3.453929981982506
time,-1.6128869578321914,-1.6128869578321914,-1.6128869578321914,-1.6128869578321914,-1.6128869578321914
ipv4,-2.2515756858053018,-2.2515756858053018,-2.2515756858053018,-2.2515756858053018,-2.2515756858053018
uri,-4.637592991418664,-4.563624869671644,-4.734801733944453,-4.948962628809051,-4.925782760784789
name,-5.128308592699177,-5.4143496905758175,-3.836348282550334,-4.7379710346402995,-4.2210822556468655
