faker_type,nl,fr,en,de,da
average,0.490186902096397,0.5201772896867048,0.5102179150832328,0.48271017513777076,0.4596148497179934
address,0.29146612882614137,0.9583967804908753,0.6970157027244568,0.6190904259681702,0.440356969833374
phone_number,0.15031670331954955,0.26970428228378296,0.18930189609527587,0.19505783319473266,0.14995014667510986
pricetag,0.08766894340515137,0.08794561624526978,0.08398431539535522,0.08882631063461303,0.10910302400588989
timezone,0.32314293384552,0.3359360218048096,0.3245903968811035,0.3325532555580139,0.33615291118621826
mime_type,0.906489098072052,0.9057654619216919,0.8744066953659058,0.9020519733428956,0.8693787693977356
unix_partition,0.14754042625427247,0.14342751502990722,0.14328280687332154,0.14468525648117064,0.14659554958343507
ascii_email,0.2525744795799255,0.22501964569091798,0.23529645204544067,0.18148657083511352,0.18570268154144287
isbn10,0.0733690857887268,0.07523313760757447,0.0763993501663208,0.07416207790374756,0.07724272012710572
job,0.47180905342102053,0.43579232692718506,0.4699701428413391,0.03162364959716797,0.24836764335632325
ssn,0.015307986736297607,0.024348485469818115,0.04753730297088623,0.04721224308013916,0.04706894159317017
user_agent,5.118003475666046,5.058537316322327,5.219097757339478,4.817655622959137,4.819542932510376
color,0.10517334938049316,0.10627559423446656,0.10471247434616089,0.10197985172271729,0.10223662853240967
license_plate,0.11669361591339111,0.08241082429885864,0.15929229259490968,0.07333966493606567,0.05480462312698364
iban,0.05338941812515259,0.02947535514831543,0.05427584648132324,0.029298508167266847,0.02759082317352295
company,0.3253681778907776,0.23640226125717162,0.17499154806137085,0.4896788835525513,0.21168773174285888
time,0.06253563165664673,0.06109493970870972,0.06459492444992065,0.061918997764587404,0.06155531406402588
ipv4,0.06810802221298218,0.06784633398056031,0.07146357297897339,0.06819034814834594,0.07129542827606201
uri,0.5376789093017578,0.5273893356323243,0.6270964980125427,0.587896466255188,0.5695554137229919
name,0.20691570043563842,0.2523672699928284,0.07683041095733642,0.3247853875160217,0.2044938921928406
