faker_type,nl,fr,en,de,da
average,105.31842105263158,115.62894736842104,107.84210526315789,108.93684210526317,102.8736842105263
address,52.45,257.3,126.55,174.6,102.8
phone_number,28.0,32.95,34.85,37.25,19.75
pricetag,12.1,12.1,12.1,12.1,14.1
timezone,75.65,75.65,75.65,75.65,75.65
mime_type,235.55,235.55,235.55,235.55,235.55
unix_partition,18.9,18.9,18.9,18.9,18.9
ascii_email,65.6,52.95,62.5,46.8,46.75
isbn10,13.35,13.35,13.35,13.35,13.35
job,119.6,147.55,119.6,8.15,63.75
ssn,4.0,5.0,8.0,8.0,8.0
user_agent,999.4,999.4,999.4,999.4,999.4
color,25.75,25.75,25.75,25.75,25.75
license_plate,24.6,14.0,39.1,13.3,8.0
iban,8.0,6.0,8.0,6.0,6.0
company,91.25,53.7,47.2,111.05,48.8
time,11.45,11.45,11.45,11.45,11.45
ipv4,11.35,11.35,11.35,11.35,11.35
uri,143.35,150.9,182.85,165.7,177.15
name,60.7,73.1,16.85,95.45,68.1
