faker_type,nl,fr,en,de,da
average,0.7632149122807018,0.7546596491228069,0.7562644736842105,0.7702592105263159,0.7789929824561405
address,0.7424166666666665,0.2798583333333334,0.40882500000000005,0.23914999999999997,0.33447499999999997
phone_number,0.95,0.9629999999999999,0.9099999999999999,0.9184999999999999,0.966
pricetag,0.9705,0.99,0.9705,0.99,0.99
timezone,0.8028083333333333,0.8028083333333333,0.8028083333333333,0.8028083333333333,0.8028083333333333
mime_type,0.47147500000000003,0.47147500000000003,0.47147500000000003,0.47147500000000003,0.47147500000000003
unix_partition,0.9824999999999999,0.9824999999999999,0.9824999999999999,0.9824999999999999,0.9824999999999999
ascii_email,0.5703750000000001,0.7531083333333333,0.7088083333333333,0.7663416666666666,0.764425
isbn10,0.9446249999999999,0.9446249999999999,0.9446249999999999,0.9446249999999999,0.9446249999999999
job,0.5824333333333334,0.4937666666666667,0.5824333333333334,0.9470416666666667,0.6977750000000001
ssn,1.0,1.0,1.0,1.0,1.0
user_agent,0.15695,0.15695,0.15695,0.15695,0.15695
color,0.7545249999999999,0.7545249999999999,0.7545249999999999,0.7545249999999999,0.7545249999999999
license_plate,0.9275833333333333,1.0,0.6955083333333333,0.9409500000000002,1.0
iban,1.0,1.0,1.0,1.0,1.0
company,0.5638416666666666,0.7422333333333334,0.6213416666666666,0.6699583333333332,0.7690166666666667
time,0.9914999999999999,0.9914999999999999,0.9914999999999999,0.9914999999999999,0.9914999999999999
ipv4,0.96175,0.96175,0.96175,0.96175,0.96175
uri,0.5418583333333333,0.5611333333333335,0.5271583333333333,0.47622500000000006,0.48637500000000006
name,0.5859416666666666,0.48929999999999996,0.8783166666666666,0.6206250000000001,0.7266666666666667
