faker_type,nl,fr,en,de,da
average,-2.3122538175808782,-2.2058651183186377,-2.3259588386118684,-2.2457160357539685,-2.190038378300359
address,-2.8640627119778577,-1.7122868854609679,-2.5115236885345515,-2.1532387304029235,-2.7921978975038484
phone_number,-1.7944643845127388,-1.5708038811472746,-2.201770190503486,-1.7560532641253968,-2.001020843204409
pricetag,-1.9825715341353412,-1.760168712663011,-1.9825715341353412,-1.760168712663011,-1.4246776072471876
timezone,-2.351110183622213,-2.351110183622213,-2.351110183622213,-2.351110183622213,-2.351110183622213
mime_type,-3.1958427865973644,-3.1958427865973644,-3.1958427865973644,-3.1958427865973644,-3.1958427865973644
unix_partition,-0.9130467665033558,-0.9130467665033558,-0.9130467665033558,-0.9130467665033558,-0.9130467665033558
ascii_email,-2.9698130752015053,-2.8066760073597172,-2.840888285865801,-2.914694927878919,-2.8469506673720404
isbn10,-1.908460596728953,-1.908460596728953,-1.908460596728953,-1.908460596728953,-1.908460596728953
job,-3.290275403447221,-3.3352024999941667,-3.290275403447221,-3.514316808325655,-3.580272287785116
ssn,-2.302585092994053,-2.3173140261754446,-1.883933257904226,-1.883933257904226,-1.883933257904226
user_agent,-0.4305376082359144,-0.4305376082359144,-0.4305376082359144,-0.4305376082359144,-0.4305376082359144
color,-3.07863311203932,-3.07863311203932,-3.07863311203932,-3.07863311203932,-3.07863311203932
license_plate,-2.4951776231431473,-2.2421505394955856,-3.2459238677257836,-2.7313219605549963,-2.0032353934459195
iban,-2.2590781815563674,-2.1320232342537286,-2.266988529090495,-2.0932591754491296,-2.072326583694648
company,-3.1414716615744505,-3.072754665454137,-3.0122733506301183,-3.0743964437879194,-2.1619901462068762
time,-1.7493472511442554,-1.7493472511442554,-1.7493472511442554,-1.7493472511442554,-1.7493472511442554
ipv4,-2.078159173483116,-2.078159173483116,-2.078159173483116,-2.078159173483116,-2.078159173483116
uri,-1.7122667168327812,-1.9089855515305754,-1.9342487813466527,-1.9162359431159666,-1.814031105882804
name,-3.415918670306727,-3.3479337661650197,-3.3176835660873323,-3.1658479767627705,-3.3249559191052604
