faker_type,nl,fr,en,de,da
average,-3.200949030053828,-3.241506616231421,-3.202500685666567,-3.172525148239835,-3.003954320370064
address,-3.8368552067177775,-6.176817473030928,-3.9421650312159615,-5.289630268834905,-4.482859040038383
phone_number,-2.139852148461845,-1.6351795772276332,-2.8632311722301185,-2.294911163103378,-2.2073134372665324
pricetag,-2.045451232753291,-1.82194933220504,-2.045451232753291,-1.82194933220504,-1.4900730476090218
timezone,-3.338286471452318,-3.338286471452318,-3.338286471452318,-3.338286471452318,-3.338286471452318
mime_type,-3.824526394297802,-3.824526394297802,-3.824526394297802,-3.824526394297802,-3.824526394297802
unix_partition,-0.9130467665033558,-0.9130467665033558,-0.9130467665033558,-0.9130467665033558,-0.9130467665033558
ascii_email,-3.893085900823351,-3.6611873650467097,-3.668754276795344,-3.63905275728404,-3.4587420678754235
isbn10,-2.2005614671190026,-2.2005614671190026,-2.2005614671190026,-2.2005614671190026,-2.2005614671190026
job,-4.810523183826671,-5.512402882794706,-4.810523183826671,-3.666902673555614,-4.480238550760886
ssn,-2.302585092994053,-2.3173140261754446,-1.883933257904226,-1.883933257904226,-1.883933257904226
user_agent,-5.04031836702548,-5.04031836702548,-5.04031836702548,-5.04031836702548,-5.04031836702548
color,-3.07863311203932,-3.07863311203932,-3.07863311203932,-3.07863311203932,-3.07863311203932
license_plate,-2.6613803209212845,-2.2421505394955856,-4.053281127324225,-2.9509450121087477,-2.0032353934459195
iban,-2.2590781815563674,-2.1320232342537286,-2.266988529090495,-2.0932591754491296,-2.072326583694648
company,-4.853471246017918,-4.245927672170019,-3.868896415684614,-4.768594279392101,-3.2670484337966883
time,-1.7493472511442554,-1.7493472511442554,-1.7493472511442554,-1.7493472511442554,-1.7493472511442554
ipv4,-2.26972756360758,-2.26972756360758,-2.26972756360758,-2.26972756360758,-2.26972756360758
uri,-4.929002341555974,-4.795374772613627,-5.186026528220862,-4.616392572882935,-4.987513849829729
name,-4.672299322205083,-4.633851440194461,-3.8438148794298477,-4.837959930647625,-4.327401031620636
