faker_type,nl,fr,en,de,da
average,0.26053298209842884,0.31512020073438946,0.25696290229496205,0.28020087543286776,0.24717487159528231
address,0.2696638941764832,1.116822648048401,0.44570393562316896,0.6473237633705139,0.4694106101989746
phone_number,0.15337764024734496,0.19779632091522217,0.17645224332809448,0.25977628231048583,0.07995694875717163
pricetag,0.06942707300186157,0.0804735541343689,0.07070889472961425,0.08194254636764527,0.08725714683532715
timezone,0.3155569672584534,0.319344699382782,0.3218826174736023,0.32326172590255736,0.31670479774475097
mime_type,0.2946322441101074,0.2821593642234802,0.2826024293899536,0.2811471581459045,0.2912348389625549
unix_partition,0.09174560308456421,0.0897041916847229,0.08819031715393066,0.0920554518699646,0.09046381711959839
ascii_email,0.16293208599090575,0.15857490301132202,0.112099027633667,0.11712151765823364,0.09583832025527954
isbn10,0.04921334981918335,0.04862468242645264,0.048494148254394534,0.0489810585975647,0.0490211009979248
job,0.29076210260391233,0.4688776612281799,0.29702945947647097,0.04246469736099243,0.26628843545913694
ssn,0.007980895042419434,0.03691134452819824,0.026543962955474853,0.02728511095046997,0.02632390260696411
user_agent,2.1131991505622865,2.134678328037262,2.139966440200806,2.092405045032501,2.0976386070251465
color,0.08874751329421997,0.0864861011505127,0.08752156496047973,0.08632851839065551,0.09087101221084595
license_plate,0.09547405242919922,0.0703985333442688,0.15070582628250123,0.05941717624664307,0.030015158653259277
iban,0.032622241973876955,0.018529820442199706,0.035997319221496585,0.018125760555267333,0.0172529935836792
company,0.269172203540802,0.23450961112976074,0.10747853517532349,0.44560842514038085,0.18136062622070312
time,0.0428555965423584,0.04500786066055298,0.04418168067932129,0.044214069843292236,0.04533298015594482
ipv4,0.036146271228790286,0.03462542295455932,0.034100782871246335,0.034364950656890866,0.03430287837982178
uri,0.2984787464141846,0.26369777917861936,0.36204233169555666,0.2964435815811157,0.2533121109008789
name,0.26813902854919436,0.3000609874725342,0.05059362649917602,0.3255497932434082,0.17373627424240112
