faker_type,nl,fr,en,de,da
average,50.74473684210526,56.944736842105264,53.74210526315789,54.426315789473676,49.43684210526316
address,17.55,85.2,81.2,38.9,39.25
phone_number,25.5,55.6,25.15,49.35,20.35
pricetag,10.0,11.0,10.0,11.0,13.0
timezone,58.25,58.25,58.25,58.25,58.25
mime_type,50.65,50.65,50.65,50.65,50.65
unix_partition,16.05,16.05,16.05,16.05,16.05
ascii_email,24.6,27.5,19.95,21.6,20.2
isbn10,8.0,8.0,8.0,8.0,8.0
job,24.45,39.9,24.45,4.8,17.8
ssn,2.0,3.0,6.0,6.0,6.0
user_agent,560.45,560.45,560.45,560.45,560.45
color,3.0,3.0,3.0,3.0,3.0
license_plate,21.7,14.0,27.45,8.55,6.0
iban,6.0,4.0,6.0,4.0,4.0
company,43.55,45.1,23.2,73.3,27.4
time,7.0,7.0,7.0,7.0,7.0
ipv4,8.0,8.0,8.0,8.0,8.0
uri,51.0,56.3,78.75,68.0,51.8
name,26.4,28.95,7.55,37.2,22.1
