faker_type,nl,fr,en,de,da
average,0.14129523603539718,0.12848596761101172,0.13838338726445248,0.1176497258638081,0.1798688430535166
address,0.31963874101638795,0.06653227806091308,0.2793829679489136,0.283321225643158,1.0406598329544068
phone_number,0.10863789319992065,0.18128293752670288,0.15001801252365113,0.17808521986007692,0.14315580129623412
pricetag,0.06679757833480834,0.07656952142715454,0.07636836767196656,0.07606933116912842,0.07467542886734009
timezone,0.10619697570800782,0.10600759983062744,0.13135292530059814,0.13375239372253417,0.13079944849014283
mime_type,0.17004411220550536,0.16373450756073,0.13859339952468872,0.15433682203292848,0.13864389657974244
unix_partition,0.07493332624435425,0.0675378680229187,0.063296377658844,0.06849342584609985,0.0671880841255188
ascii_email,0.2849249243736267,0.31242982149124143,0.22539740800857544,0.26615725755691527,0.20832632780075072
isbn10,0.0983277678489685,0.09331238269805908,0.09716520309448243,0.10578708648681641,0.09105031490325928
job,0.5349502682685852,0.41626139879226687,0.6110196232795715,0.09943660497665405,0.6224727749824523
ssn,0.019298470020294188,0.06204131841659546,0.04173856973648071,0.041106438636779784,0.04234790802001953
user_agent,0.07454367876052856,0.07467179298400879,0.07430511713027954,0.0748724102973938,0.07436964511871338
color,0.024548149108886717,0.02507028579711914,0.026761412620544434,0.023706793785095215,0.026638889312744142
license_plate,0.07964050769805908,0.05672940015792847,0.15038390159606935,0.1095770239830017,0.040753412246704104
iban,0.04031798839569092,0.025952494144439696,0.04123387336730957,0.029628467559814454,0.02378448247909546
company,0.2084630846977234,0.17710272073745728,0.11362642049789429,0.1766689419746399,0.1615422248840332
time,0.04818880558013916,0.0469077467918396,0.050772440433502194,0.04089040756225586,0.05076309442520142
ipv4,0.1222498893737793,0.10361071825027465,0.11554607152938842,0.10862252712249756,0.10697590112686158
uri,0.1272258758544922,0.1479349970817566,0.11290314197540283,0.15217902660369872,0.16248021125793458
name,0.1756814479827881,0.23754359483718873,0.12941912412643433,0.11265338659286499,0.2108803391456604
