faker_type,nl,fr,en,de,da
average,0.8054820175438596,0.7722614035087719,0.7991982456140351,0.8003311403508772,0.8176798245614035
address,0.80155,0.14516666666666667,0.6247833333333335,0.4232166666666667,0.6094333333333333
phone_number,0.923875,0.986,0.8334166666666667,0.8870000000000001,0.96
pricetag,0.9870000000000001,0.9870000000000001,0.9870000000000001,0.9870000000000001,0.9870000000000001
timezone,0.7072083333333332,0.7072083333333332,0.7072083333333332,0.7072083333333332,0.7072083333333332
mime_type,0.6642833333333333,0.6642833333333333,0.6642833333333333,0.6642833333333333,0.6642833333333333
unix_partition,1.0,1.0,1.0,1.0,1.0
ascii_email,0.7571,0.8261333333333333,0.8131499999999999,0.8592333333333333,0.8550666666666666
isbn10,0.8974333333333332,0.8974333333333332,0.8974333333333332,0.8974333333333332,0.8974333333333332
job,0.6685916666666666,0.46515000000000006,0.6685916666666666,0.9444166666666668,0.7570916666666667
ssn,1.0,1.0,1.0,1.0,1.0
user_agent,0.22983333333333333,0.22983333333333333,0.22983333333333333,0.22983333333333333,0.22983333333333333
color,1.0,1.0,1.0,1.0,1.0
license_plate,0.96175,1.0,0.7986499999999999,0.9484083333333334,1.0
iban,1.0,1.0,1.0,1.0,1.0
company,0.6251333333333333,0.7535,0.7913083333333333,0.65525,0.796025
time,1.0,1.0,1.0,1.0,1.0
ipv4,0.95625,0.95625,0.95625,0.95625,0.95625
uri,0.44856666666666667,0.4569083333333334,0.33760833333333334,0.460175,0.41877499999999995
name,0.6755833333333332,0.5981000000000001,0.8752500000000001,0.5865833333333332,0.6975166666666667
